City,Amount,Product_Category,Sales_Rep,Discount,Customer_segmentation,After_dicouont,Loss,Month_Formatted,Spend,Channel,ROI%
Hyderabad,1771.71,Electronics,Jason Taylor,0.19,Online,1435.09,336.62,01-01-2023,5436.4,TV,1434.09
Hyderabad,3426.32,Home Decor,Heather Lowe,0.1,Wholesale,3083.69,342.63,01-01-2023,,TV,#DIV/0!
Hyderabad,6995.21,Home Decor,Derrick Washington,0.04,Online,6715.4,279.81,01-01-2023,,TV,#DIV/0!
Hyderabad,1050.86,Apparel,Mr. John Mathews,0.15,Wholesale,893.23,157.63,01-01-2023,,TV,#DIV/0!
Hyderabad,6734.2,Groceries,Kyle Jones,0.11,Retail,5993.44,740.76,01-01-2023,,TV,#DIV/0!
Hyderabad,3904.63,Apparel,Sarah Frank,0.14,Retail,3357.98,546.65,01-01-2023,,TV,#DIV/0!
Hyderabad,8057.19,Home Decor,Samantha Davis,0.04,Online,7734.9,322.29,01-01-2023,,TV,#DIV/0!
Hyderabad,5339.36,Home Decor,Wendy Weaver,0.13,Retail,4645.24,694.12,01-01-2023,,TV,#DIV/0!
Hyderabad,7837.74,Groceries,Zachary Livingston,0.03,Online,7602.61,235.13,01-01-2023,,TV,#DIV/0!
Hyderabad,785.35,Electronics,Scott Murphy,0.12,Retail,691.11,94.24,01-01-2023,,TV,#DIV/0!
Hyderabad,4513,Home Decor,Brent Lopez,0.07,Online,4197.09,315.91,01-01-2023,,TV,#DIV/0!
Hyderabad,3324.98,Electronics,Sabrina Thomas,0.04,Online,3191.98,133,01-01-2023,,TV,#DIV/0!
Hyderabad,3487.8,Apparel,Brandy Gomez,0.06,Retail,3278.53,209.27,01-01-2023,,TV,#DIV/0!
Hyderabad,9217.91,Electronics,Stephen Whitney,0.04,Wholesale,8849.19,368.72,01-01-2023,,TV,#DIV/0!
Hyderabad,8585.88,Apparel,Michael Harmon,0.02,Retail,8414.16,171.72,01-01-2023,,TV,#DIV/0!
Hyderabad,1344.7,Electronics,Mary Pierce,0.23,Online,1035.42,309.28,01-01-2023,,TV,#DIV/0!
Hyderabad,4746.14,Electronics,Sara Williams,0.11,Wholesale,4224.06,522.08,01-01-2023,,TV,#DIV/0!
Hyderabad,6628.1,Apparel,Daniel Soto MD,0.22,Retail,5169.92,1458.18,01-01-2023,,TV,#DIV/0!
Hyderabad,849.07,Groceries,Darryl Rivas,0.02,Online,832.09,16.98,01-01-2023,,TV,#DIV/0!
Hyderabad,4869.91,Home Decor,Crystal Miller,0.12,Wholesale,4285.52,584.39,01-01-2023,,TV,#DIV/0!
Hyderabad,7845.63,Home Decor,Jamie Scott,0.09,Wholesale,7139.52,706.11,01-01-2023,,TV,#DIV/0!
Hyderabad,945.85,Groceries,Francisco Oliver,0.12,Retail,832.35,113.5,01-01-2023,,TV,#DIV/0!
Hyderabad,2194.36,Electronics,James Nguyen,0.18,Retail,1799.38,394.98,01-01-2023,,TV,#DIV/0!
Hyderabad,5720.7,Home Decor,Sara Brooks,0.04,Online,5491.87,228.83,01-01-2023,,TV,#DIV/0!
Hyderabad,5204.57,Apparel,Lisa Newman,0.15,Wholesale,4423.88,780.69,01-01-2023,,TV,#DIV/0!
Hyderabad,6346.33,Groceries,Amy Martinez,0.08,Retail,5838.62,507.71,01-01-2023,,TV,#DIV/0!
Hyderabad,8789.58,Home Decor,Anne Compton,0.12,Online,7734.83,1054.75,01-01-2023,,TV,#DIV/0!
Hyderabad,1760.34,Electronics,Lauren Owens,0.1,Retail,1584.31,176.03,01-02-2023,8685.88,TV,1583.31
