City,Amount,Product_Category,Sales_Rep,Discount,Customer_segmentation,After_dicouont,Loss,Month_Formatted,Spend,Channel,ROI %
Kochi,1123.41,Home Decor,Caleb Acevedo,0.02,Retail,1100.94,22.47,01-01-2023,1615.66,Print,1099.94
Kochi,4357.57,Home Decor,Tanya Williams,0.2,Online,3486.06,871.51,01-01-2023,,Print,#DIV/0!
Kochi,1465.35,Electronics,Michael White,0.25,Retail,1099.01,366.34,01-01-2023,,Print,#DIV/0!
Kochi,2816.64,Groceries,Stephen Tyler,0.23,Wholesale,2168.81,647.83,01-01-2023,,Print,#DIV/0!
Kochi,7041.52,Groceries,Margaret Hull,0.15,Wholesale,5985.29,1056.23,01-01-2023,,Print,#DIV/0!
Kochi,5653.97,Apparel,Randy Church,0.18,Retail,4636.26,1017.71,01-01-2023,,Print,#DIV/0!
Kochi,8063.58,Groceries,Ronald Reese,0.01,Wholesale,7982.94,80.64,01-01-2023,,Print,#DIV/0!
Kochi,4219.39,Apparel,Jeanne Mclaughlin,0.15,Retail,3586.48,632.91,01-01-2023,,Print,#DIV/0!
Kochi,7369.68,Home Decor,Ryan Baird,0.21,Wholesale,5822.05,1547.63,01-01-2023,,Print,#DIV/0!
Kochi,8628.17,Electronics,Anthony Gamble,0.22,Wholesale,6729.97,1898.2,01-01-2023,,Print,#DIV/0!
Kochi,6667,Electronics,Steven Paul,0.14,Online,5733.62,933.38,01-01-2023,,Print,#DIV/0!
Kochi,3849.21,Groceries,Courtney Perry,0.08,Retail,3541.27,307.94,01-01-2023,,Print,#DIV/0!
Kochi,4708.28,Electronics,Eric Henry,0.01,Retail,4661.2,47.08,01-01-2023,,Print,#DIV/0!
Kochi,9026.7,Electronics,Jose Bowen,0.08,Online,8304.56,722.14,01-01-2023,,Print,#DIV/0!
Kochi,2052.14,Apparel,Anthony Delgado,0.17,Online,1703.28,348.86,01-01-2023,,Print,#DIV/0!
Kochi,1489.94,Groceries,Edward Snyder,0.25,Wholesale,1117.46,372.49,01-01-2023,,Print,#DIV/0!
Kochi,5542.47,Home Decor,Timothy Bennett,0.17,Retail,4600.25,942.22,01-01-2023,,Print,#DIV/0!
Kochi,4996.62,Electronics,Jessica Webster,0.22,Wholesale,3897.36,1099.26,01-01-2023,,Print,#DIV/0!
Kochi,602.76,Groceries,Thomas Castro,0.08,Online,554.54,48.22,01-01-2023,,Print,#DIV/0!
Kochi,6991.74,Apparel,Steve Velez,0.1,Online,6292.57,699.17,01-01-2023,,Print,#DIV/0!
Kochi,4297.55,Home Decor,Sergio Johnson,0.21,Retail,3395.06,902.49,01-02-2023,4136.48,Digital,3394.06
Kochi,8752.33,Groceries,Robert Graham,0.04,Retail,8402.24,350.09,01-02-2023,,Digital,#DIV/0!
Kochi,9786.34,Home Decor,Angela Stanley,0.19,Online,7926.94,1859.4,01-02-2023,,Digital,#DIV/0!
Kochi,6876.14,Apparel,Sara Anderson,0.11,Wholesale,6119.76,756.38,01-02-2023,,Digital,#DIV/0!
Kochi,4476.58,Electronics,Amanda Williams,0.14,Online,3849.86,626.72,01-02-2023,,Digital,#DIV/0!
Kochi,4671.43,Groceries,Dr. David Farmer DDS,0.15,Retail,3970.72,700.71,01-02-2023,,Digital,#DIV/0!
Kochi,2820.96,Groceries,Jennifer Smith,0.2,Retail,2256.77,564.19,01-02-2023,,Digital,#DIV/0!
Kochi,7294.6,Home Decor,Darren Duncan,0.19,Wholesale,5908.63,1385.97,01-02-2023,,Digital,#DIV/0!
Kochi,9626.75,Apparel,Michael Barry,0.17,Retail,7990.2,1636.55,01-02-2023,,Digital,#DIV/0!
Kochi,8234.7,Electronics,Tyler Hill,0.2,Online,6587.76,1646.94,01-02-2023,,Digital,#DIV/0!
Kochi,5000.02,Electronics,Marcia Jenkins,0.13,Retail,4350.02,650,01-02-2023,,Digital,#DIV/0!
Kochi,1422.04,Electronics,Megan Perry,0.13,Retail,1237.17,184.87,01-02-2023,,Digital,#DIV/0!
Kochi,9974.67,Apparel,Jay James,0.04,Wholesale,9575.68,398.99,01-02-2023,,Digital,#DIV/0!
Kochi,5605.57,Home Decor,Kimberly Gray,0.17,Wholesale,4652.62,952.95,01-02-2023,,Digital,#DIV/0!
Kochi,9647.25,Home Decor,Megan Fuller,0.16,Online,8103.69,1543.56,01-02-2023,,Digital,#DIV/0!
Kochi,2111.51,Groceries,Theresa Robinson,0.12,Wholesale,1858.13,253.38,01-02-2023,,Digital,#DIV/0!
Kochi,3899.59,Home Decor,Patricia Howard,0.03,Online,3782.6,116.99,01-02-2023,,Digital,#DIV/0!
Kochi,8383.66,Apparel,Gregory Lewis,0.18,Wholesale,6874.6,1509.06,01-02-2023,,Digital,#DIV/0!
Kochi,9100.25,Home Decor,Dr. Kelsey Moore,0.24,Wholesale,6916.19,2184.06,01-02-2023,,Digital,#DIV/0!
Kochi,5676.61,Home Decor,Stephanie Oliver,0.16,Retail,4768.35,908.26,01-02-2023,,Digital,#DIV/0!
Kochi,8260.84,Apparel,Anna Kerr,0.22,Online,6443.46,1817.38,01-02-2023,,Digital,#DIV/0!
Kochi,7024.58,Groceries,Shawn Harrison,0.24,Wholesale,5338.68,1685.9,01-02-2023,,Digital,#DIV/0!
Kochi,2635.16,Groceries,Dana Yang,0.07,Online,2450.7,184.46,01-02-2023,,Digital,#DIV/0!
Kochi,9939.58,Electronics,Todd Ortega,0.06,Online,9343.21,596.37,01-02-2023,,Digital,#DIV/0!
Kochi,627.77,Home Decor,Christina Fletcher,0.17,Retail,521.05,106.72,01-02-2023,,Digital,#DIV/0!
Kochi,9911.76,Groceries,Barbara White,0.24,Wholesale,7532.94,2378.82,01-02-2023,,Digital,#DIV/0!
Kochi,6481.47,Groceries,Pedro Henry,0.11,Wholesale,5768.51,712.96,01-02-2023,,Digital,#DIV/0!
Kochi,2836.38,Electronics,Crystal Sanchez,0.15,Online,2410.92,425.46,01-02-2023,,Digital,#DIV/0!
Kochi,1481.19,Home Decor,Nicole Waters,0.01,Retail,1466.38,14.81,01-02-2023,,Digital,#DIV/0!
Kochi,1811.51,Groceries,Judith Oconnell,0.14,Online,1557.9,253.61,01-03-2023,3015.11,Digital,1556.9
Kochi,9232.39,Apparel,Nicholas Taylor,0.06,Online,8678.45,553.94,01-03-2023,,Digital,#DIV/0!
Kochi,5810.31,Home Decor,Thomas Young,0.08,Wholesale,5345.49,464.82,01-03-2023,,Digital,#DIV/0!
Kochi,3364.52,Electronics,Karen Maldonado,0.09,Retail,3061.71,302.81,01-03-2023,,Digital,#DIV/0!
Kochi,5013.59,Apparel,Albert Parker,0.01,Online,4963.45,50.14,01-03-2023,,Digital,#DIV/0!
Kochi,9167.19,Groceries,Rebecca Waters,0.06,Online,8617.16,550.03,01-03-2023,,Digital,#DIV/0!
Kochi,8838.36,Electronics,Paul Rogers,0.14,Online,7600.99,1237.37,01-03-2023,,Digital,#DIV/0!
Kochi,2961.2,Home Decor,Virginia Jordan,0.17,Wholesale,2457.8,503.4,01-03-2023,,Digital,#DIV/0!
Kochi,7479.56,Electronics,Erin Fisher,0.08,Retail,6881.2,598.36,01-03-2023,,Digital,#DIV/0!
Kochi,4924.12,Apparel,Jessica Hendricks,0.18,Online,4037.78,886.34,01-03-2023,,Digital,#DIV/0!
Kochi,2028.69,Home Decor,Steven Bautista,0.05,Wholesale,1927.26,101.43,01-03-2023,,Digital,#DIV/0!
Kochi,8874.97,Apparel,Miranda Frank,0.18,Retail,7277.48,1597.49,01-03-2023,,Digital,#DIV/0!
Kochi,4306.7,Home Decor,Wanda Harris,0.16,Wholesale,3617.63,689.07,01-03-2023,,Digital,#DIV/0!
Kochi,541.87,Groceries,Michelle Hart,0.02,Online,531.03,10.84,01-03-2023,,Digital,#DIV/0!
Kochi,3150.6,Groceries,John Lewis,0.22,Retail,2457.47,693.13,01-03-2023,,Digital,#DIV/0!
Kochi,2234.19,Groceries,Luis Davidson,0.1,Retail,2010.77,223.42,01-03-2023,,Digital,#DIV/0!
Kochi,2730.72,Apparel,Vanessa Foley,0.11,Online,2430.34,300.38,01-03-2023,,Digital,#DIV/0!
Kochi,9432.22,Electronics,Rachel Cooper,0.18,Online,7734.42,1697.8,01-03-2023,,Digital,#DIV/0!
Kochi,6659.36,Electronics,Melissa Hernandez,0.09,Online,6060.02,599.34,01-03-2023,,Digital,#DIV/0!
Kochi,8171.38,Apparel,Tara Braun,0.04,Wholesale,7844.52,326.86,01-03-2023,,Digital,#DIV/0!
