City,Amount,Product_Category,Sales_Rep,Discount,Customer_segmentation,After_dicouont,Loss,Month_Formatted,Spend,Channel
Bangalore,4036.49,Groceries,Renee Tran,0.02,Online,3955.76,80.73,01-01-2023,18986.02,Digital
Bangalore,4223.1,Home Decor,Craig Huff,0.21,Retail,3336.25,886.85,01-01-2023,,Digital
Bangalore,1416.97,Electronics,Joseph Cantrell,0.22,Wholesale,1105.24,311.73,01-01-2023,,Digital
Bangalore,6684.37,home Décor,Tracy House,0.14,Online,5748.56,935.81,01-01-2023,,Digital
Bangalore,1062.76,Apparel,Jason Fernandez MD,0.04,Wholesale,1020.25,42.51,01-01-2023,,Digital
Bangalore,7813.79,Groceries,Jose Luna,0.14,Wholesale,6719.86,1093.93,01-01-2023,,Digital
Bangalore,1631.45,Groceries,William Flores,0.11,Retail,1451.99,179.46,01-01-2023,,Digital
Bangalore,9057.03,Apparel,Kayla Garcia,0.05,Online,8604.18,452.85,01-01-2023,,Digital
Bangalore,9211.83,Apparel,Andrew Reed,0.02,Online,9027.59,184.24,01-01-2023,,Digital
Bangalore,1579.25,Home Decor,Katie Adams,0.09,Wholesale,1437.12,142.13,01-01-2023,,Digital
Bangalore,1923.03,Home Decor,Jennifer Daniel,0.12,Retail,1692.27,230.76,01-01-2023,,Digital
Bangalore,7670.97,Electronics,Steven Harris,0.07,Wholesale,7134,536.97,01-01-2023,,Digital
Bangalore,2410.95,Electronics,Lindsay Allen,0.02,Wholesale,2362.73,48.22,01-01-2023,,Digital
Bangalore,6929.59,Groceries,Jeffery Lee,0.13,Online,6028.74,900.85,01-01-2023,,Digital
Bangalore,888.59,Electronics,Michael Wiggins,0.08,Online,817.5,71.09,01-01-2023,,Digital
Bangalore,6156.54,Electronics,Troy Martin,0.21,Wholesale,4863.67,1292.87,01-01-2023,,Digital
Bangalore,3472.08,Groceries,Jose Robinson,0.15,Retail,2951.27,520.81,01-01-2023,,Digital
Bangalore,6963.57,Home Decor,Dr. Joseph Franklin MD,0.17,Online,5779.76,1183.81,01-01-2023,,Digital
Bangalore,3553.79,Electronics,Anthony Hubbard,0.11,Wholesale,3162.87,390.92,01-01-2023,,Digital
Bangalore,4609.43,Groceries,Frederick Rivers,0.1,Retail,4148.49,460.94,01-01-2023,,Digital
Bangalore,540.45,Groceries,Shelby Martinez,0.18,Online,443.17,97.28,01-01-2023,,Digital
Bangalore,4920.62,Electronics,Cathy Hanson,0,Wholesale,4920.62,0,01-01-2023,,Digital
Bangalore,3796.45,Electronics,John Mcdonald,0.02,Online,3720.52,75.93,01-01-2023,,Digital
Bangalore,5091.28,Apparel,John Johnson,0.05,Wholesale,4836.72,254.56,01-01-2023,,Digital
Bangalore,8542.85,Apparel,David Wilson,0.02,Retail,8371.99,170.86,01-01-2023,,Digital
Bangalore,5398.33,Groceries,Crystal Cook,0.09,Retail,4912.48,485.85,01-01-2023,,Digital
Bangalore,4472.29,Groceries,Cynthia Wallace,0.04,Retail,4293.4,178.89,01-01-2023,,Digital
Bangalore,9472.48,Electronics,Kelsey Mendoza,0.08,Retail,8714.68,757.8,01-01-2023,,Digital
Bangalore,738.3,Apparel,Mr. Matthew Lopez Jr.,0.03,Online,716.15,22.15,01-01-2023,,Digital
Chennai,6440.23,Home Decor,Heather Richards,0.24,Online,4894.57,1545.66,01-01-2023,16475.43,Print
Chennai,2429.35,Apparel,Natasha Foster,0.19,Online,1967.77,461.58,01-01-2023,,Print
Chennai,4464.6,Home Decor,Anthony Berry,0.01,Online,4419.95,44.65,01-01-2023,,Print
Chennai,3079.62,Electronics,Debra Davidson,0.08,Wholesale,2833.25,246.37,01-01-2023,,Print
Chennai,2761.49,Groceries,Michael Moore,0.2,Online,2209.19,552.3,01-01-2023,,Print
Chennai,7077.86,Apparel,David Robertson,0.25,Retail,5308.4,1769.47,01-01-2023,,Print
